name,parent,Year,value
World,,2016,
Australia,World,2016,413369.923
Australia,World,2015,402995.4534
Australia,World,2014,393464.2392
Australia,World,2013,398163.7982
Australia,World,2012,407146.0571
Australia,World,2011,404246.5711
Australia,World,2010,406752.7727
Australia,World,2009,408672.6316
Australia,World,2008,405048.5372
Australia,World,2007,400415.7294
Australia,World,2006,392681.8732
Australia,World,2005,386515.2116
Australia,World,2004,383204.9447
Australia,World,2003,369725.8354
Australia,World,2002,362209.0938
Australia,World,2001,357668.7428
Australia,World,2000,350194.5818
Australia,World,1999,344063.3362
Australia,World,1998,334684.1065
Australia,World,1997,320794.6964
Australia,World,1996,312361.21
Australia,World,1995,305409.7993
Australia,World,1994,294014.6104
Australia,World,1993,289234.8565
Australia,World,1992,284912.1243
Australia,World,1991,279872.3639
Australia,World,1990,278424.3757
Austria,World,2016,67402.08259
Austria,World,2015,66703.98793
Austria,World,2014,64253.32618
Austria,World,2013,68001.23043
Austria,World,2012,67661.39955
Austria,World,2011,70115.67043
Austria,World,2010,72383.14413
Austria,World,2009,67483.05972
Austria,World,2008,73806.27105
Austria,World,2007,74032.11713
Austria,World,2006,76688.46451
Austria,World,2005,79366.67988
Austria,World,2004,78052.54598
Austria,World,2003,77764.24922
Austria,World,2002,72146.53821
Austria,World,2001,70390.85743
Austria,World,2000,66261.74306
Austria,World,1999,65621.00496
Austria,World,1998,67054.36404
Austria,World,1997,67453.01131
Austria,World,1996,67673.88744
Austria,World,1995,64205.95022
Austria,World,1994,61190.34675
Austria,World,1993,60787.73913
Austria,World,1992,60431.45918
Austria,World,1991,65899.67765
Austria,World,1990,62292.22893
Belarus,World,2016,60509.20294
Belarus,World,2015,58965.75283
Belarus,World,2014,63779.98533
Belarus,World,2013,64423.6975
Belarus,World,2012,63674.75709
Belarus,World,2011,62772.74614
Belarus,World,2010,63862.38967
Belarus,World,2009,61937.83226
Belarus,World,2008,66390.05888
Belarus,World,2007,64263.92283
Belarus,World,2006,64861.61027
Belarus,World,2005,62049.39439
Belarus,World,2004,60767.19152
Belarus,World,2003,57112.28662
Belarus,World,2002,55677.15672
Belarus,World,2001,55560.3302
Belarus,World,2000,55458.03489
Belarus,World,1999,56991.20707
Belarus,World,1998,59407.81858
Belarus,World,1997,62545.83556
Belarus,World,1996,59202.27422
Belarus,World,1995,57947.48938
Belarus,World,1994,64372.95701
Belarus,World,1993,77615.57865
Belarus,World,1992,89990.44567
Belarus,World,1991,97040.05943
Belarus,World,1990,104134.684
Belgium,World,2016,100243.7092
Belgium,World,2015,100229.4898
Belgium,World,2014,96391.04125
Belgium,World,2013,101970.442
Belgium,World,2012,101394.9752
Belgium,World,2011,104158.6419
Belgium,World,2010,113582.0314
Belgium,World,2009,107642.367
Belgium,World,2008,120659.01
Belgium,World,2007,120611.4018
Belgium,World,2006,124030.8885
Belgium,World,2005,125638.2016
Belgium,World,2004,129040.8827
Belgium,World,2003,127953.1847
Belgium,World,2002,126444.6264
Belgium,World,2001,126129.0059
Belgium,World,2000,126794.7893
Belgium,World,1999,124745.7014
Belgium,World,1998,130285.1126
Belgium,World,1997,124046.8246
Belgium,World,1996,129583.6246
Belgium,World,1995,126082.9642
Belgium,World,1994,124938.189
Belgium,World,1993,121557.2845
Belgium,World,1992,122657.8106
Belgium,World,1991,123544.7094
Belgium,World,1990,120484.3993
Bulgaria,World,2016,45287.38692
Bulgaria,World,2015,48132.69151
Bulgaria,World,2014,45142.46921
Bulgaria,World,2013,42586.00272
Bulgaria,World,2012,48269.49135
Bulgaria,World,2011,53116.46741
Bulgaria,World,2010,47792.80335
Bulgaria,World,2009,45707.14513
Bulgaria,World,2008,53972.79256
Bulgaria,World,2007,55637.03418
Bulgaria,World,2006,51825.57051
Bulgaria,World,2005,50591.29473
Bulgaria,World,2004,49508.63944
Bulgaria,World,2003,50414.46115
Bulgaria,World,2002,46166.36377
Bulgaria,World,2001,48923.31534
Bulgaria,World,2000,45213.9264
Bulgaria,World,1999,46096.27191
Bulgaria,World,1998,52526.25983
Bulgaria,World,1997,55181.61981
Bulgaria,World,1996,57952.54289
Bulgaria,World,1995,57536.98681
Bulgaria,World,1994,55936.14024
Bulgaria,World,1993,57483.41274
Bulgaria,World,1992,56839.99502
Bulgaria,World,1991,60058.04946
Bulgaria,World,1990,78672.94186
Canada,World,2016,558188.9997
Canada,World,2015,565576.677
Canada,World,2014,568008.388
Canada,World,2013,568892.3957
Canada,World,2012,563675.2003
Canada,World,2011,560775.9005
Canada,World,2010,555459.6937
Canada,World,2009,540518.6867
Canada,World,2008,574805.8706
Canada,World,2007,594140.2418
Canada,World,2006,570487.6421
Canada,World,2005,576801.6287
Canada,World,2004,585832.7993
Canada,World,2003,587596.2905
Canada,World,2002,570885.0978
Canada,World,2001,564635.3201
Canada,World,2000,572530.74
Canada,World,1999,550043.1502
Canada,World,1998,534236.4975
Canada,World,1997,525253.0716
Canada,World,1996,510556.7864
Canada,World,1995,495664.5156
Canada,World,1994,483058.4569
Canada,World,1993,467879.5752
Canada,World,1992,468864.7675
Canada,World,1991,454627.5042
Canada,World,1990,463879.7907
Croatia,World,2016,18220.6018
Croatia,World,2015,17996.56799
