name,parent,value
World,,
Australia,World,413369.923
Austria,World,67402.08259
Belarus,World,60509.20294
Belgium,World,100243.7092
Bulgaria,World,45287.38692
Canada,World,558188.9997
Croatia,World,18220.6018
Cyprus,World,7307.79907
Czech Republic,World,106543.2952
Denmark,World,38427.33492
Estonia,World,17493.50319
European Union,World,3489056.375
Finland,World,47926.37865
France,World,346790.2082
Germany,World,801753.0077
Greece,World,71373.08131
Hungary,World,47578.18295
Iceland,World,3489.970162
Ireland,World,39928.11806
Italy,World,350323.0149
Japan,World,1204318.623
Latvia,World,7263.617944
Liechtenstein,World,148.3620314
Lithuania,World,13157.45712
Luxembourg,World,9002.955521
Malta,World,1420.277182
Monaco,World,66.95821454
Netherlands,World,165522.0693
New Zealand,World,34462.93116
Norway,World,44031.62268
Poland,World,321182.01
Portugal,World,50285.47157
Romania,World,75051.65747
Russian Federation,World,1668069.933
Slovakia,World,33996.77237
Slovenia,World,14399.78923
Spain,World,260985.896
Sweden,World,42568.01792
Switzerland,World,39204.91387
Turkey,World,402820.7838
Ukraine,World,235156.0144
United Kingdom,World,398033.2757
United States of America,World,5310861.406
