Year,Belgium,Cyprus,Czechia,France,Georgia,Germany,Hungary,Ireland,Latvia,Lithuania,Netherlands,Poland,Romania,Slovakia,Slovenia,Spain,Sweden,Switzerland
2015,28367.9901367187,2904,41643,429730.09375,72390.421875,249000,51429,105541,45233,38517.1796875,35308.25,155713.296875,152358,35241.1015625,30872.4249023438,344073,379573,60198
2014,26544,2358,51420,567709.1875,72216.171875,257000,70680,97855,44539.4736842105,41197.66015625,31678.16015625,199957.203125,197196,46806,39897,335405.29140625,337479,64698
2013,25848,1770,57336,578551.625,82259.9375,276000,62031,83886,40641,43152,30496.900390625,210119.203125,162798.90625,42348,34848,263370.59375,311389,65295
2012,29829,4737,54812,516008.3125,75382.4609375,272000,45384,92120,48495,51598,34987,195767.296875,148798.296875,34848.6015625,30156,422481.90625,397478,61785
2011,24047,3348,49000,428158.1875,82885.3125,257000,39153,89439,42132,44977,31397.19921875,215247.09375,119290,31790.599609375,23127,246632.59375,381114,49767
2010,27567,2570,68329,502397.1875,77910.453125,300000,92535,74010,54298,55033,32450.599609375,248797.40625,201750,59103.5,35827,337988.40625,335750,59183
2009,26223.599609375,3745,59046,474837.40625,87926,280000,58311,105505.6015625,47927,46871,29895.5,211369.90625,156000,41715,33588,425689.90625,340066,55425
2008,29484.599609375,1648,49105,562079.6875,72602,269000,56451,98949.703125,47873,43398,32924.1015625,200207.296875,158000,40049,36444,305173.59375,357745,58563
2007,31476,2766.69995117188,59544,509243.8125,53441,333000,58400,82798.5,48579,51603.1015625,36558.69921875,224877.59375,174000,39460,28656,300643.09375,340484,63723
2006,29325.69921875,2326.19995117188,55837,509886.1875,72402,248000,54220,91144.296875,34558,39642,30417.599609375,193140.796875,162500,36274.1015625,24124.900390625,355746.8125,360630,56696
2005,26028.30078125,2303.39990234375,57730,401743,87279,261000,69378,80278.6015625,42216,44684.1021792763,31153.5,179445.59375,206000,46029,28342.69921875,313516.5,334552,53152
2004,28408.099609375,3227.10009765625,53629,473653.59375,85085,287000,63798,82791.4609375,44755,46432,34044.69921875,194141.40625,167000,41715,32052.599609375,221456.296875,339172,56977
2003,23040.099609375,3213.89990234375,40695,427897.6875,83605,215000,43340,72374.96875,41723,40104,25382.30078125,152305.203125,131000,28080,23249.30078125,373802.90625,308014,55224
2002,33598.80078125,2841.10009765625,71298,535356.625,89588,359000,52452,102101.28125,37841,40737,33280,210525,155000,41225,29499.900390625,369899.40625,307074,59471
2001,34093.80078125,3213,63960,542698.3125,67660,327000,57102,70248.1484375,50702,50302,35710,232444,170000,41421,28645,301785.90625,369682,78097
2000,32397,3152,54733,572225.5,65811,294000,40548,94225.7421875,42629,39968,33510,197268,102000,37500,31780.099609375,397961.90625,424479,62203
1999,31153.80078125,1932,49291,583224.6875,74942,294000,75700,93474.6875,41184,41700,32240,199832,170000,40294,31323.099609375,267982,322170,78600.8984375
1998,32805.30078125,2483,56153,484093.3125,55490,323000,68100,98107.359375,49988,55600,39410,220093.5,170000,40196,31945.099609375,365853,372570,56717.30078125
1997,24767.30078125,2573,57809,463500.6875,67956,252000,49700,86567.7890625,48027,44206,26520,198987.90625,171000,37058,27413.400390625,397312,284380,61847.6015625
1996,21763.400390625,2998,54890,496655.8125,60310,239000,63500,82966.9375,36565,34230,23830,192546.703125,151000,41127,33856.8984375,435200,253780,50432.30078125
1995,28959,2805.46999511719,61514,526938.5,58648,309000,64263,85872.890625,46117,46162,29810,205053.703125,147000,40637,32672.5,261536,323845,70091
